sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,weight_height_ratio,height_weight_ratio,arm_span_ratio,leg_length_ratio,torso_length_ratio,cluster
gymnastics,128.0,,,GYMNAST,Oksana Chusovitina,160 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,125.60000000000001,,,GYMNAST,Shilese Jones,157 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,125.60000000000001,,,GYMNAST,Jade Carey,157 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,113.60000000000001,61.1,32.63241420353104,GYMNAST,Simone Biles,142 cm,47.0 kg,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,0.33098591549295775,3.021276595744681,,,,4
gymnastics,120.80000000000001,,,GYMNAST,Rebeca Andrade,151 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,121.60000000000001,,,GYMNAST,Sunisa Lee,152 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,121.60000000000001,,,GYMNAST,Jessica Gadirova,152 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,128.0,,,GYMNAST,Viktoria Listunova,160 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,121.60000000000001,,,GYMNAST,Angelina Melnikova,152 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,132.0,,,GYMNAST,Asia D'Amato,165 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,132.0,,,GYMNAST,Larisa Iordache,165 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,120.0,,,GYMNAST,Alice D'Amato,150 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
rowing,228.8,82.8,24.50284090909091,ROWER,Zoe Stevenson,176 cm,69 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.39204545454545453,2.550724637681159,,,,1
rowing,232.70000000000002,96.0,27.46481071127618,ROWER,Emma Twigg,179 cm,80 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.44692737430167595,2.2375,,,,1
rowing,232.70000000000002,88.8,25.40494990793047,ROWER,Grace Prendergast,179 cm,74 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.4134078212290503,2.418918918918919,,,,1
rowing,237.9,90.0,24.63495476126489,ROWER,Sarah Cook,183 cm,75 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.4098360655737705,2.44,,,,1
rowing,248.3,92.39999999999999,23.217565307968535,ROWER,Grace Luczak,191 cm,77 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.4031413612565445,2.4805194805194803,,,,1
rowing,236.6,90.0,24.906412269049632,ROWER,Kerri Gowler,182 cm,75 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.41208791208791207,2.4266666666666667,,,,1
rowing,230.1,91.2,26.68454147914073,ROWER,Viorica Neculai,177 cm,76 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.4293785310734463,2.3289473684210527,,,,1
rowing,235.3,88.8,24.846616403650685,ROWER,Kim Brennan,181 cm,74 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.4088397790055249,2.445945945945946,,,,1
rowing,236.6,84.0,23.245984784446325,ROWER,Katherine Grainger,182 cm,70 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.38461538461538464,2.6,,,,1
rowing,231.4,84.0,24.302487059714682,ROWER,Helen Glover,178 cm,70 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.39325842696629215,2.5428571428571427,,,,1
rowing,231.4,84.0,24.302487059714682,ROWER,Heather Stanning,178 cm,70 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.39325842696629215,2.5428571428571427,,,,1
rowing,241.8,91.2,24.164643311365474,ROWER,Georgina Rowe,186 cm,76 kg,,8.802121212121213,9.511212121212122,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,0.40860215053763443,2.4473684210526314,,,,1
tennis,193.60000000000002,63.0,20.33832644628099,TENNIS,Iga Świątek,176 cm,63 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.35795454545454547,2.7936507936507935,,,,3
tennis,201.3,77.0,22.99262444384723,TENNIS,Aryna Sabalenka,183 cm,77 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.4207650273224044,2.3766233766233764,,,,1
tennis,199.10000000000002,70.0,21.36686914318855,TENNIS,Barbora Krejčíková,181 cm,70 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.3867403314917127,2.585714285714286,,,,3
tennis,198.00000000000003,65.0,20.061728395061728,TENNIS,Coco Gauff,180 cm,65 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.3611111111111111,2.769230769230769,,,,3
tennis,201.3,70.0,20.902385858042937,TENNIS,Elena Rybakina,183 cm,70 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.3825136612021858,2.6142857142857143,,,,3
tennis,192.50000000000003,68.0,22.20408163265306,TENNIS,Jessica Pegula,175 cm,68 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.38857142857142857,2.573529411764706,,,,3
tennis,184.8,59.0,20.904195011337873,TENNIS,Simona Halep,168 cm,59 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.35119047619047616,2.847457627118644,,,,3
tennis,200.20000000000002,70.0,21.132713440405748,TENNIS,Petra Kvitová,182 cm,70 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.38461538461538464,2.6,,,,3
tennis,183.70000000000002,60.0,21.513858510523864,TENNIS,Ons Jabeur,167 cm,60 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.3592814371257485,2.783333333333333,,,,3
tennis,198.00000000000003,69.0,21.296296296296294,TENNIS,Naomi Osaka,180 cm,69 kg,,8.802121212121213,9.511212121212122,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,0.38333333333333336,2.608695652173913,,,,3
track_field,184.8,72.0,23.384353741496604,SPRINTER,Blessing Okagbare,168 cm,60 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.35714285714285715,2.8,,,,3
track_field,187.00000000000003,72.0,22.837370242214536,SPRINTER,Sha'Carri Richardson,170 cm,60 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.35294117647058826,2.8333333333333335,,,,3
track_field,182.60000000000002,69.6,23.152852373348818,SPRINTER,Marie-Josee Ta Lou,166 cm,58 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.3493975903614458,2.8620689655172415,,,,3
track_field,167.20000000000002,62.4,24.75761772853186,SPRINTER,Shelly-Ann Fraser,152 cm,52 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.34210526315789475,2.923076923076923,,,,4
track_field,181.50000000000003,70.8,23.83838383838384,SPRINTER,Carmelita Jeter,165 cm,59 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.3575757575757576,2.7966101694915255,,,,3
track_field,183.70000000000002,76.8,25.24292731901467,SPRINTER,Dina Asher-Smith,167 cm,64 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.38323353293413176,2.609375,,,,3
track_field,187.00000000000003,72.0,22.837370242214536,SPRINTER,Merlene Ottey,170 cm,60 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.35294117647058826,2.8333333333333335,,,,3
track_field,187.00000000000003,76.8,24.359861591695505,HURDLER,Tobi Amusan,170 cm,64 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.3764705882352941,2.65625,,,,3
track_field,184.8,,,SPRINTER,Julien Alfred,168 cm,,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,,,,,,3
track_field,184.8,72.0,23.384353741496604,SPRINTER,Tori Bowie,168 cm,60 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.35714285714285715,2.8,,,,3
track_field,184.8,75.6,24.553571428571438,SPRINTER,Elaine Thompson-Herah,168 cm,63 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.375,2.6666666666666665,,,,3
track_field,167.20000000000002,62.4,24.75761772853186,SPRINTER,Shelly-Ann Fraser-Pryce,152 cm,52 kg,,8.802121212121213,9.511212121212122,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,0.34210526315789475,2.923076923076923,,,,4
