sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,height_weight_ratio,weight_height_ratio,arm_span,arm_span_ratio,leg_length,leg_length_ratio,torso_length,torso_length_ratio,bmi_category,size_archetype,build_archetype,composition_archetype,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_height_weight_ratio,weighted_weight_height_ratio,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,cluster
gymnastics,160.0,,,GYMNAST,Morgan Hurd,160 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,240.0,,,,,,,,0
gymnastics,164.0,,,GYMNAST,Sanne Wevers,164 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,medium,,,246.0,,,,,,,,0
gymnastics,165.0,,,GYMNAST,Giulia Steingruber,165 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,medium,,,247.5,,,,,,,,0
gymnastics,163.0,,,GYMNAST,Aly Raisman,163 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,medium,,,244.5,,,,,,,,0
gymnastics,160.0,,,GYMNAST,Oksana Chusovitina,160 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,240.0,,,,,,,,0
gymnastics,157.0,,,GYMNAST,Shilese Jones,157 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,235.5,,,,,,,,0
gymnastics,157.0,,,GYMNAST,Jade Carey,157 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,235.5,,,,,,,,0
gymnastics,142.0,47.0,23.30886728823646,GYMNAST,Simone Biles,142 cm,47.0 kg,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,3.021276595744681,0.33098591549295775,,,,,,,normal,short,very_lean,normal,213.0,56.4,41.95596111882563,4.531914893617022,0.4964788732394366,,,,0
gymnastics,151.0,,,GYMNAST,Rebeca Andrade,151 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,226.5,,,,,,,,0
gymnastics,152.0,,,GYMNAST,Sunisa Lee,152 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,228.0,,,,,,,,0
gymnastics,152.0,,,GYMNAST,Jessica Gadirova,152 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,228.0,,,,,,,,0
gymnastics,160.0,,,GYMNAST,Viktoria Listunova,160 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,240.0,,,,,,,,0
gymnastics,152.0,,,GYMNAST,Angelina Melnikova,152 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,228.0,,,,,,,,0
gymnastics,165.0,,,GYMNAST,Asia D'Amato,165 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,medium,,,247.5,,,,,,,,0
gymnastics,165.0,,,GYMNAST,Larisa Iordache,165 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,medium,,,247.5,,,,,,,,0
gymnastics,150.0,,,GYMNAST,Alice D'Amato,150 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,short,,,225.0,,,,,,,,0
rowing,176.0,69.0,22.275309917355372,ROWER,Zoe Stevenson,176 cm,69 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.550724637681159,0.39204545454545453,,,,,,,normal,tall,lean,normal,264.0,82.8,40.09555785123967,3.826086956521739,0.5880681818181818,,,,0
rowing,179.0,80.0,24.968009737523797,ROWER,Emma Twigg,179 cm,80 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.2375,0.44692737430167595,,,,,,,normal,tall,balanced,normal,268.5,96.0,44.94241752754284,3.3562499999999997,0.6703910614525139,,,,0
rowing,179.0,74.0,23.095409007209515,ROWER,Grace Prendergast,179 cm,74 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.418918918918919,0.4134078212290503,,,,,,,normal,tall,balanced,normal,268.5,88.8,41.57173621297713,3.628378378378378,0.6201117318435754,,,,0
rowing,183.0,75.0,22.395413419331717,ROWER,Sarah Cook,183 cm,75 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.44,0.4098360655737705,,,,,,,normal,tall,balanced,normal,274.5,90.0,40.31174415479709,3.66,0.6147540983606558,,,,0
rowing,191.0,77.0,21.106877552698666,ROWER,Grace Luczak,191 cm,77 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.4805194805194803,0.4031413612565445,,,,,,,normal,very_tall,balanced,normal,286.5,92.39999999999999,37.9923795948576,3.7207792207792205,0.6047120418848168,,,,0
rowing,182.0,75.0,22.6421929718633,ROWER,Kerri Gowler,182 cm,75 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.4266666666666667,0.41208791208791207,,,,,,,normal,tall,balanced,normal,273.0,90.0,40.75594734935394,3.64,0.6181318681318682,,,,0
rowing,177.0,76.0,24.258674071946118,ROWER,Viorica Neculai,177 cm,76 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.3289473684210527,0.4293785310734463,,,,,,,normal,tall,balanced,normal,265.5,91.2,43.66561332950301,3.4934210526315788,0.6440677966101694,,,,0
rowing,181.0,74.0,22.587833094227893,ROWER,Kim Brennan,181 cm,74 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.445945945945946,0.4088397790055249,,,,,,,normal,tall,balanced,normal,271.5,88.8,40.65809956961021,3.6689189189189193,0.6132596685082873,,,,0
rowing,182.0,70.0,21.132713440405748,ROWER,Katherine Grainger,182 cm,70 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.6,0.38461538461538464,,,,,,,normal,tall,lean,normal,273.0,84.0,38.03888419273035,3.9000000000000004,0.576923076923077,,,,0
rowing,178.0,70.0,22.093170054286073,ROWER,Helen Glover,178 cm,70 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.5428571428571427,0.39325842696629215,,,,,,,normal,tall,lean,normal,267.0,84.0,39.767706097714935,3.814285714285714,0.5898876404494382,,,,0
rowing,178.0,70.0,22.093170054286073,ROWER,Heather Stanning,178 cm,70 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.5428571428571427,0.39325842696629215,,,,,,,normal,tall,lean,normal,267.0,84.0,39.767706097714935,3.814285714285714,0.5898876404494382,,,,0
rowing,186.0,76.0,21.967857555786793,ROWER,Georgina Rowe,186 cm,76 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,F,,,,,,2.4473684210526314,0.40860215053763443,,,,,,,normal,tall,balanced,normal,279.0,91.2,39.54214360041623,3.671052631578947,0.6129032258064516,,,,0
tennis,176.0,63.0,20.33832644628099,TENNIS,Iga Świątek,176 cm,63 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.7936507936507935,0.35795454545454547,,,,,,,normal,tall,lean,normal,264.0,75.6,36.608987603305785,4.19047619047619,0.5369318181818182,,,,0
tennis,183.0,77.0,22.99262444384723,TENNIS,Aryna Sabalenka,183 cm,77 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.3766233766233764,0.4207650273224044,,,,,,,normal,tall,balanced,normal,274.5,92.39999999999999,41.386723998925014,3.5649350649350646,0.6311475409836066,,,,0
tennis,181.0,70.0,21.36686914318855,TENNIS,Barbora Krejčíková,181 cm,70 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.585714285714286,0.3867403314917127,,,,,,,normal,tall,lean,normal,271.5,84.0,38.46036445773939,3.878571428571429,0.580110497237569,,,,0
tennis,180.0,65.0,20.061728395061728,TENNIS,Coco Gauff,180 cm,65 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.769230769230769,0.3611111111111111,,,,,,,normal,tall,lean,normal,270.0,78.0,36.111111111111114,4.153846153846153,0.5416666666666666,,,,0
tennis,183.0,70.0,20.902385858042937,TENNIS,Elena Rybakina,183 cm,70 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.6142857142857143,0.3825136612021858,,,,,,,normal,tall,lean,normal,274.5,84.0,37.62429454447729,3.9214285714285717,0.5737704918032787,,,,0
tennis,175.0,68.0,22.20408163265306,TENNIS,Jessica Pegula,175 cm,68 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.573529411764706,0.38857142857142857,,,,,,,normal,medium,lean,normal,262.5,81.6,39.96734693877551,3.860294117647059,0.5828571428571429,,,,0
tennis,168.0,59.0,20.904195011337873,TENNIS,Simona Halep,168 cm,59 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.847457627118644,0.35119047619047616,,,,,,,normal,medium,lean,normal,252.0,70.8,37.62755102040817,4.271186440677966,0.5267857142857142,,,,0
tennis,182.0,70.0,21.132713440405748,TENNIS,Petra Kvitová,182 cm,70 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.6,0.38461538461538464,,,,,,,normal,tall,lean,normal,273.0,84.0,38.03888419273035,3.9000000000000004,0.576923076923077,,,,0
tennis,167.0,60.0,21.513858510523864,TENNIS,Ons Jabeur,167 cm,60 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.783333333333333,0.3592814371257485,,,,,,,normal,medium,lean,normal,250.5,72.0,38.72494531894296,4.175,0.5389221556886228,,,,0
tennis,180.0,69.0,21.296296296296294,TENNIS,Naomi Osaka,180 cm,69 kg,,,,tennis.csv,2025-09-13T21:48:26.842517,F,,,,,,2.608695652173913,0.38333333333333336,,,,,,,normal,tall,lean,normal,270.0,82.8,38.33333333333333,3.9130434782608696,0.5750000000000001,,,,0
track_field,168.0,60.0,21.258503401360546,SPRINTER,Blessing Okagbare,168 cm,60 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8,0.35714285714285715,,,,,,,normal,medium,lean,normal,252.0,72.0,38.26530612244898,4.199999999999999,0.5357142857142857,,,,0
track_field,170.0,60.0,20.761245674740486,SPRINTER,Sha'Carri Richardson,170 cm,60 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8333333333333335,0.35294117647058826,,,,,,,normal,medium,lean,normal,255.0,72.0,37.37024221453288,4.25,0.5294117647058824,,,,0
track_field,166.0,58.0,21.04804761213529,SPRINTER,Marie-Josee Ta Lou,166 cm,58 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8620689655172415,0.3493975903614458,,,,,,,normal,medium,lean,normal,249.0,69.6,37.88648570184352,4.293103448275862,0.5240963855421688,,,,0
track_field,152.0,52.0,22.506925207756233,SPRINTER,Shelly-Ann Fraser,152 cm,52 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.923076923076923,0.34210526315789475,,,,,,,normal,short,lean,normal,228.0,62.4,40.51246537396122,4.384615384615384,0.5131578947368421,,,,0
track_field,165.0,59.0,21.6712580348944,SPRINTER,Carmelita Jeter,165 cm,59 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.7966101694915255,0.3575757575757576,,,,,,,normal,medium,lean,normal,247.5,70.8,39.00826446280992,4.194915254237288,0.5363636363636364,,,,0
track_field,167.0,64.0,22.948115744558788,SPRINTER,Dina Asher-Smith,167 cm,64 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.609375,0.38323353293413176,,,,,,,normal,medium,lean,normal,250.5,76.8,41.30660834020582,3.9140625,0.5748502994011977,,,,0
track_field,170.0,60.0,20.761245674740486,SPRINTER,Merlene Ottey,170 cm,60 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8333333333333335,0.35294117647058826,,,,,,,normal,medium,lean,normal,255.0,72.0,37.37024221453288,4.25,0.5294117647058824,,,,0
track_field,170.0,64.0,22.145328719723185,HURDLER,Tobi Amusan,170 cm,64 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.65625,0.3764705882352941,,,,,,,normal,medium,lean,normal,255.0,76.8,39.86159169550174,3.984375,0.5647058823529412,,,,0
track_field,168.0,,,SPRINTER,Julien Alfred,168 cm,,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,,,,,,,,,,medium,,,252.0,,,,,,,,0
track_field,168.0,60.0,21.258503401360546,SPRINTER,Tori Bowie,168 cm,60 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.8,0.35714285714285715,,,,,,,normal,medium,lean,normal,252.0,72.0,38.26530612244898,4.199999999999999,0.5357142857142857,,,,0
track_field,168.0,63.0,22.321428571428577,SPRINTER,Elaine Thompson-Herah,168 cm,63 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.6666666666666665,0.375,,,,,,,normal,medium,lean,normal,252.0,75.6,40.17857142857144,4.0,0.5625,,,,0
track_field,152.0,52.0,22.506925207756233,SPRINTER,Shelly-Ann Fraser-Pryce,152 cm,52 kg,,,,track_field.csv,2025-09-13T21:48:26.844513,F,,,,,,2.923076923076923,0.34210526315789475,,,,,,,normal,short,lean,normal,228.0,62.4,40.51246537396122,4.384615384615384,0.5131578947368421,,,,0
